대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
서울특별시 송파구 잠실동 1번지,11710,10100,0,0001,0000,10251100193122,1,일반,2,일반건축물,서울특별시 송파구 한가람로 65 (잠실동),한강공원잠실안내센터,,,,1,117103123020,10101,0,65,,,0,주건축물,284992.4,258.13,0.09,567.77,567.77,0.2,21,철근콘크리트구조,철근콘크리트조,03000,제1종근린생활시설,제1종근린생활시설(공원관리소),10,(철근)콘크리트,평슬라브,0,0,9.6,3,1,0,0,0,0,567.77,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 잠실동 3번지,11710,10100,0,0003,0000,1025114628,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,0,0,9.92,0,0,51,일반목구조,목조,01000,단독주택,주택,90,기타지붕,초즙,0,1,0,1,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,        ,        ,        ,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 잠실동 10번지,11710,10100,0,0010,0000,10251100485457,1,일반,2,일반건축물,서울특별시 송파구 올림픽로 25 (잠실동),고압가스충전소,,,,5,117103123023,10101,0,25,,,0,주건축물,0,0,0,21.2,0,0,21,철근콘크리트구조,철근콘크리트구조,19000,위험물저장및처리시설,고압가스충전소,10,(철근)콘크리트,(철근)콘크리트,0,0,0.9,0,1,0,0,0,0,21.2,0,0,0,0,0,0,0,0,20160524,20160824,20160907,2016,3230165,건축과,5200,공용건축물,0,,0,0,,0,,0,20221108,1,
서울특별시 송파구 잠실동 10번지,11710,10100,0,0010,0000,102511901,1,일반,2,일반건축물,서울특별시 송파구 올림픽로 25 (잠실동),2호,,,,5,117103123023,10101,0,25,,,0,주건축물,0,0,0,140,0,0,11,벽돌구조,"철근콘크리트조,연와조",03000,제1종근린생활시설,근린공공시설,10,(철근)콘크리트,스라브,0,0,0,1,0,0,0,0,0,140,0,0,0,0,0,0,0,0,,,19860430,,,,,,0,,0,0,,0,,0,20221108,0,
서울특별시 송파구 잠실동 10번지,11710,10100,0,0010,0000,102511900,1,일반,2,일반건축물,서울특별시 송파구 올림픽로 25 (잠실동),잠실제2수영장,,,,5,117103123023,10101,0,25,,,0,주건축물,0,3042.45,0,4631.87,3838.85,0,21,철근콘크리트구조,철근콘크리트조,13000,운동시설,실내수영장,90,기타지붕,트러스구조,0,0,23.6,2,1,0,0,0,0,4631.87,0,0,0,0,0,0,0,0,,,19791110,,,,,,0,,0,0,,0,,0,20221108,0,
서울특별시 송파구 잠실동 10번지,11710,10100,0,0010,0000,102511073,1,일반,2,일반건축물,서울특별시 송파구 올림픽로 25 (잠실동),종합운동장119안전센터,,,,5,117103123023,10101,0,25,,,0,주건축물,0,0,0,419.1,0,0,21,철근콘크리트구조,"철근콘크리트조,",03000,제1종근린생활시설,소방관파출소,10,(철근)콘크리트,스라브,0,0,0,1,0,0,0,0,0,419.1,0,0,0,0,0,0,0,0,        ,        ,19850823,,,,,,0,,0,0,,0,,0,20221108,0,
서울특별시 송파구 잠실동 10번지,11710,10100,0,0010,0000,102511880,1,일반,2,일반건축물,서울특별시 송파구 올림픽로 25 (잠실동),잠실야구장,,,,5,117103123023,10101,0,25,,,0,주건축물,0,0,0,59229.75,0,0,31,일반철골구조,"철골조,",05000,문화및집회시설,"운동장,야구장",90,기타지붕,합성수지피복강판,0,0,0,3,1,0,0,0,0,59229.75,0,0,0,0,0,0,0,0,        ,        ,19820828,,,,,,0,,0,0,,0,,0,20221108,0,
서울특별시 송파구 잠실동 10번지,11710,10100,0,0010,0000,102511899,1,일반,2,일반건축물,서울특별시 송파구 올림픽로 25 (잠실동),체조관,,,,5,117103123023,10101,0,25,,,0,주건축물,0,0,0,1487.94,0,0,21,철근콘크리트구조,철근콘크리트조,05000,문화및집회시설,체조관,30,슬레이트,스레트,0,0,0,2,1,0,0,0,0,1487.94,0,0,0,0,0,0,0,0,        ,        ,19730825,,,,,,0,,0,0,,0,,0,20221108,0,
서울특별시 송파구 잠실동 10번지,11710,10100,0,0010,0000,1025122767,1,일반,2,일반건축물,서울특별시 송파구 올림픽로 25 (잠실동),학생체육관,,,,5,117103123023,10101,0,25,,,0,주건축물,0,0,0,11471.12,0,0,21,철근콘크리트구조,철근콘크리트조,13000,운동시설,운동시설,10,(철근)콘크리트,평지붕,0,0,0,3,1,0,0,0,0,11471.12,0,0,0,0,0,0,0,0,,,19840118,,,,,,0,,0,0,,0,,0,20221108,0,
서울특별시 송파구 잠실동 10번지,11710,10100,0,0010,0000,102511071,1,일반,2,일반건축물,서울특별시 송파구 올림픽로 25 (잠실동),잠실주경기장,,,,5,117103123023,10101,0,25,,,0,주건축물,402815.9,34333.18,20,100151.5,741113.98,38.6,42,철골철근콘크리트구조,"철골,철근콘크리트조",13000,운동시설,운동시설,10,(철근)콘크리트,철골조,0,0,41,3,1,2,0,0,0,100151.5,0,0,0,0,0,0,150,22500,        ,19761115,19840929,,,,,,0,,0,0,,0,,0,20221108,0,
